id,text
76, @USER   @USER  i should add that the firefox plugin 'power twitter' is highly recommended!    WEBSITE2018 
77,"one more hour of painting and i'm done, for today anyway. i let my mini roller dry out &amp; it's making a right hash of rolling now "
78,my blisters!!!!!!!  got like 5 on both feet omgggg
79,is wondering what to do with her self tonight.. have to go out noone to go out with 
80,"good trip to shops, new mac mag to read with cuppa. almost lashed out on new lense for camera - decided it was too many hundreds "
81,g2g - 1am in the morning - be warned - mikeyy is back - be careful - one of the ppl i am following is infected 
82,ready for a fabulous day! 
83,"is at work, with a boo boo on her knee "
84, @USER  actually that sounds great. 
85,it's beautiful outside yet again....and again i can't spend the day playing in the sun 
86," @USER  nah, parking is always included in the rate  no extra fees here"
87, @USER  there:  WEBSITE2018 stfu nao and buy me a mouse bish! my icawns on trackpad rawck! 
88,"gah, precious boys and their missing of each other already. someone send spencer a jon, please "
89, @USER   i wanted to see the next episode of dollhouse... going to have to watch bbc now instead...
90,"james lost 1-0 , a draw would have been fair "
91,"i wonder if i could post loads of stuff, then i would have a horde of dancing monkeys!! "
92, @USER   that would be entertaining!  lol  i hope the hearing ends in your favor!  
93," @USER  whoa, i wanna add this app! haha. &amp; i'm good!  been busy going out, that's all. you?"
94,aephi picnic then some major studying at hillman 
95, @USER  hope that kidneystone doesnt completely ruin your weekend 
96, @USER  fantastic... i'll make another place setting. 
97, @USER  hi ahmad. thanks for this...but flckr's blocked in uae...  ... no words... :-s
98,loaded up with words to type 
99, @USER  oh dear mate 2-0 down  hope the 2nd half picks up for you!
100,"twit help: how do i remove twitter column from tweet deck. i set it to stay signed in, it's not budging and i dont want it there anymore "
101,"i'm off to remodel a kitchen, have a great day, twitterville.  and all my thanks to all the new followers, i appreciate all the attention "
102,"phew, home from the bicycle ride. 22.43 km / 1:09:32 no breaks (but a little uphill pushing "
103," @USER  see, i feel the same about sportscenter during football season.  i would rather see baseball! "
104, WEBSITE2018 please visit! 
105,"if ur a bb owner, lover, etc. go to 'berrytastic.com' great articles, forums, resources and more! "
106, @USER  how fun! ah it'll get better 
107,baking an easter chocolate cake 
108," @USER  careful, i'm  @USER  age!  i thought you were waaaay older than us  "
109, @USER  nope didn't understand much of that tweet ... i like cashmere though 
110, @USER  i'm glad i found you! 
111, @USER  i wake up @ 3:30!  @USER  i really should go to bed @ 9 but i never do. usually 11 or 12.  @USER  thanks! mac does wonders 
112," @USER  i really like following your tweets. you and your friends are very interesting. i follow them, too "
113, @USER  lol it's good! how are u? i'm dani 
114,one of em jumped but later rescued  watch bbc...     WEBSITE2018  WEBSITE2018 
115, @USER  here are 15:55   good morning!
116,"is one again, locked up in my bedroom, i'm really sick of spending all my time in here, i just want friends yo. "
117," @USER  i actually live in baton rouge... but it's fine here!  a little chilly, but nice. how are you?"
118, @USER  i think i'll  @USER  t-krigs...definitely dinosaur lineage 
119,good morning tweeters!  i am off to watch the news
120, @USER  history. i cant be bothered tbh. yer not on msn 
121, @USER  hallmark its almost over tho 
122, @USER   #kiwitweets hey jer! since when did you start twittering? 
123,finaly the test is over......... math test is very very very very very very hard 
124," @USER  i thought it meant you are my destiny too! cause of the song! hahaha, and yes, they're coming. "
125,is the dallas sky really as overcast as it appears to be? the sun escaped to the windy city 
126,red ant bites really smart 
127,"im lonely  keep me company! 22 female, bismarck - north dakota"
128,"listening to music, someone keeps deleting my fav songs "
129, @USER  on the way via paypal.  
130," @USER  i'm nervous too, but nervous that being loaded up on cold meds will make me play in slow motion  sick=no fun"
131, @USER  thanks for sharing this so we can all wrap this family in our prayers!  you are a wonderful guy! 
132, @USER  i am up 
133," @USER  understandable, don't feel so bad  i'm here writing because of having become jobless some days ago "
134,my internet is somewhat working! i want seb 
135," @USER   @USER  luskey i gotcha  this is my fridge:  WEBSITE2018 ...not sure it's photographed well though, arg."
136, @USER  well don't because then  @USER  won't be able to take cute pictures of you.  lol
137,otherinbox 50% discount till 15th april for beta users  and three month free premium for all beta users  #mightbuyit #goodservice #oib
138,i looooove ace of cakes! catching up on it at work 
139, @USER   whered u get the cool backround? mines just lik these lame clouds. luv it! 
140,huge coffee at work...hanging with dad this afternoon 
141,"preparing the move of an online-shop to on-rev. there is so much to pay attention to...   but after move, many things will be much easier."
142, @USER  there is a hashtag #ivaa09 for the summit  i'm not cool either   couldn't go.
143, @USER  i want to see sack and moomoo. 
144, @USER  safe flight home! bet you'll be glad to see your babies. 
145,finished the hw... going to lay down till mason gets up from his nap! probably won't be long 
146,ready...set...go!!! 
147, @USER  and  @USER  - i want the amanda palmer book too... was going to suggest we go thirds on it but i can't even afford that. 
148,got only 4 hours of sleep  off to pomona!
149,can't wait for his ftth nbn connection ... when all he can get upstream to  @USER  's is 8 kbps  
150, @USER  ummmm i wanna come! 
151,"sindre tweets for the first time, but no one is paying attetion. oh well... "
152, @USER  he is good! he's down in florida for mts. he graduates in late april...he really happy about this 
153,doing some daily quests in wow before the bulls playoff game.  i have a feeling this is going to be a long afternoon.  
154,done with breakfast. we're out of milk 
155,on my way 2 work. raining here in k.c  guess my k.c twiggs know that. lol 8 days till i'm 30 wtf!
156," @USER  lots done yesterday, but never got out!   leaving computer now to make sure today is not the same! anohter nice day here in ny!"
157, @USER  i think you're funny 
158, @USER   i have a phobia of owls tooooooooooooooooooo! 
159, @USER  and waiting for sunrise in spring with an amazing colors 
160, @USER  skin and bones/marianas trench &amp; top of the world/t.i 
161," @USER  * search at g, right click, save "
162," @USER  well, you do realize that its all your fault, don't you? what an inconvenience you are! "
163,"i will be studying, researching and writing all weekend long... shoot me! "
164,that was for my buddy  @USER  
165,it is poring rain in austin texas 
166,had a fun day with highschool buddies.  but came home to find one goldfish had died.    and i don't know what it died of!
167, @USER  something special in return 
168, @USER  ooh i love your jacket in this picture  tres chic.
169, @USER  ((hugs)) sounds like you need them today... and a whole lot more 
170, @USER  who's shira zer? 
171," @USER  i wish i had showtime  weeds, dexter and the avns? great network!"
172, @USER  glad that you enjoyed it brother! it's been so much fun sharing the gospel. 
173, @USER  haha. well i have more but i don't have to do anything but file the rest away or delete them. 
174, @USER  could you allow for dms? i would prefer not to give my email out publically. thanks 
175,good morning tweets. sad day for me: i leave the promised land (plano) for home (indian trail) 
176,amazing night and great day...i love my heels!!! 
177," @USER  listen to eminems new song, that'll sort you out "
178, @USER  treat yourself to a nice drop of cider now you're back 
179, @USER  i see you are a fast learner lol  you went to no messages to a few pages full in just one night!  go head ms sonya! 
180,"even when the sun is not its shiniest, &amp; the ocean is not is sparkliest...life is better at the beach! (espc. jensen beach, fl)  "
181," @USER  #140conf is an international event with characters joining us from across north america, europe and the middle east so yes. "
182,is about to head out of the a... 
183,"important meetings happening all over the office, and i'm not needed in any of them.  yes!"
184,"wow! just back from my longest ever non stop run, 14 miles. now i truly know what sore legs feel like!  delighted tho"
185," @USER  yeah, i went to mine earlier, it was a peice of pie  no questions asked whatsoeverrr"
186, @USER  that's a good one 
187, @USER  no email. 
188, @USER   oh no its raining there   like you said to me yesterday hop on a plane its only 2 hours to here.join me lol
189,why do only two of my friends have twitter! on monday ill try to convince my mates. no more hols then 
190,good morning! just helping otu to clean the house... 
191,today: 1. dentist  2. downtown with my girlies 3. famous videoshoot 4. go back home &amp; work.
192,going to work.  it should be illegal to have to go to work this early on a weekend!
193, @USER  good thing you didn't get a ticket!!!! 
194,my shoulders hurt..... it was cold and cloudy this morning 
195,is loving the sun  but is upset she cant make the picnic thurs 
196, @USER  thanks! best wishes to you too 
197,"gotta go to work in about 15 or so. played gta: chinatown wars a lot last night. anyone who has a ds should get that game, it's that good "
198,i've just had a lovely lunch with lynds and now i'm heading round ants... good times  xoxox
199, @USER  having to articulate a high-five = fail.   
200, @USER  i am now 
201,having a better day  ?  WEBSITE2018 
202,never expected chennai would lose the match  #ipl
203, @USER  perhaps. i'll think about it 
204,is on the phone with lex and terry!! 
205,i don't like twitter. it sucks. i don't get it! 
206," sorry, i tried messaging you awake"
207,last night i like killed myself and my arm is all messed up now. haha i fell like flat on my facelong story how it happened such a klutz 
208,belgain waffles at the plate 
209," @USER  that song isnt there, "
210," @USER  yeah, there used to be solo in truro, that's closed down now "
211,is sitting in a coffee shop @ the strip in ttown watching it rain! 
212,is very bored in work 
213,is stuck babysitting my sister again! 
214, @USER  i really tried to recruit as many people as i could to follow you guys so you wouldn't lose $500.00! 
215, @USER  my tiny panther 
216,guess who's bizzzack! btw moving 3 pieces of luggage with 2 hands is haaaaard 
217,can't remember the website for programming my harmony remote 
218,"yes cousie star, may i propose the week after next? my school life will be officially over! am i am not excited about it. "
219, @USER  kinda like status updates 
220, @USER  great meeting you over coffee as well. maybe next time we meet we can have a pint. 
221,"baby, it makes me feel sick looking at those buzzing bees........................ "
222," @USER  holy heck--sign me up for a nap, too! take it easy, nettie. "
223, @USER  66 words to go for me. 
224," @USER  have fun! i, on the other hand, have a boring day. i have an exam in the afternoon. "
225, @USER  &quot;i've included a link to your 2nd post in my uptodate article&quot; - thank you. you didn't have to  your utd post is a great summary.
226, @USER  i concur w/ ur feelings about ppl 
227, @USER  aw cool! i'm so excited 
228,watching arthur cos i'm way cool 
229,"don't say no, puh-leaseeeeeeeee!!!! "
230," @USER  only played one mission, but it's very very cool "
231,follow dtmafia !  WEBSITE2018 go dtmafia !!! 
232, @USER   @USER  o876 lol that video is hilarious. 
233,i hate sleeping alone 
234, @USER  hmm. perhaps london expo? lots of buildings. dunno if that gives us much time. i'd have to prioritize my headcrab 
235,work work work! no play today 
236,"*remembers she has contaminated well water and has to find new housing.*  a big, dark, cloud just blocked that sunshine "
237,at the airport.  cant wait to get to spain.
238, @USER  i'm a die-hard fender guy and i *still* think is awesome 
239,"wow !! finally my linux review got over , i am happy "
240,cannot wait till fridayyyy. so far theres about 8 of us going to the premeire! hahah 
241, no they are not.. stupid changes! why they did last year and not this year?
242,is taking care of his sick mother today. 
243,wants to watch house..now  &amp; got grey's season 4 on dvd 
244, @USER  yes that would be a good thing.. do you think i can sweet talk them?  i have a gift!
245," @USER  hah!  round is a shape, indeed, and there are round parts of me i'd like to plane down.  "
246, @USER   @USER   @USER   @USER   @USER   @USER   @USER   thanks for spreading the love! 
247, @USER  maybe because it doesn't come naturally? you could be the next shakespeare.. 
248, @USER  i'm going to see that soon also   lets hope we enjoy it!
249,bah! delayed another half hour.  weather conditions in sfo
250,having nerves shredded by the atrocity known as vista.  gates and ballmer should really be executed for this evil garbage. 
251, @USER  wow you guys are incredible!!! thanks for the follow 
252, @USER  nonsense!  all steak looks perfectly su  @USER  ulent! 
253,"bad head, muscles aching  things to get done today: 1. write. 2. watch bsg. 3. try to not have cake."
254, @USER  my own quote: &quot;life is not about me.  it's about helping and giving to others.&quot; -david williams ...took 42 years to get that 
255," @USER   of course you have cable, so you'll be able to watch the sd version for quite some time. but we don't have to tell dh that. "
256," @USER  yes, i love jesus too  and: i love you!!!)"
257,cant believe they actually let. wish it was somewhere else tho..  but it's a start. sis isnt gonna be happy. oh well!
258, @USER  thank you for the dl 
259,slept in for an extra 30  in alviso  WEBSITE2018 
260,tonight bbq qith friends! going to get some steaks and totally looking forward to 1st bbq of this year 
261,"you send it.com is good, helpful, free, yay   WEBSITE2018  WEBSITE2018 "
262,happy about his friends  
263, @USER  looks like ur info's changed 2 mikeyy  - i suppose you'll have to wait until it's fixed - wish they would fix the loop hole
264," @USER   WEBSITE2018 - no, i found tht pic on google images "
265,"fast &amp; furious: new model, original parts  a really good film "
266,studying for a final...too bad it's beautiful outside 
267, @USER  thank you! 
268, @USER  i went with flo rida 
269, @USER  he sure does i put him in the game and bought him some 
270,just walked the dog. everyone else is hot but im stone cold 
271,feeling like my life is slipping away from me with each minute spent in this waiting room not being seen and sent on my merry way... 
272," @USER  well, i'm glad it's you and not me.  "
273,the doctors are just after leaving 
274,mall today. broke though.  arrggg.
275, @USER  so it;s fork terror not sppoooonnnn terrroorr 
276,good morning twitter 
277,on my first cup of coffee. can't wake up. 
278,"toothache is coming back, will be back in the dentist chair on monday! "
279, @USER  thanks!  that just made my day. 
280, @USER  giving you the check 
281,missing my family in the usa 
282," @USER  hola, betchfaceee. xd things are going great. what about you? "
283, @USER   @USER  i'm going! enough pressure already! 
284, @USER  i am still on twilight  got distracted from tv shows. just wanna know if i should read the 2nd when i am done with the first.
285, @USER  i saw it when it was on broadway in ny and it was pretty incredible 
286,back to work on monday after 2 weeks off  
287, @USER  thank you! 
288,almost finished lego indy - but have been grinding the last 2 achievements for hours 
289,...last night hilarious &lt;3 work all dayyyyy 
290, @USER  thats sad  all good things must come to an end though 
291,i'm so shocked that i have lost 3.3 pounds. i guess walking does help after all. 
292,opening day for little league baseball and it is raining cats and dogs.......   
293,i love matt...so much 
294, @USER  yeah but i can't drive to apple right now soo best buy's my only hope. i think i've only seen the black and white there 
295,good morning tweeterville!  looking forward to your tweets today   make it an awesome day.
296, @USER  don't count me in that group since i find you to be interesting and adorable 
297,is going to the skating show today...again 4 this weekend 
298,"getting ready for work, 12-8 "
299," @USER  still a cheapskate, even when you're upside down!! "
300,heading home to  @USER  
301,check this video out -- where to buy kid's jewelry for easter day   WEBSITE2018 
302,"i feel like im not really here, feels like im falling, drowning i got no idea why i feel like this "
303,"i'm filling out information for prs, it's horrible "
304," @USER  well, honestly, your baritone isn't built for camp.  "
305, @USER  no you don't. canada sucks.  
306,"it's a beautiful day and i'm going to go in to work!    but, i'll enjoy the sun tomorrow, so it's okay."
307,back to the vet 
308,"grey morning is killing my happy buzz  i wish it were sunny. going somewhere soon, not sure where though."
309," @USER  ha well thats okay then, i'll make sure its in under 6 months "
310,"just realized, i only have 15 days till i have to get braces... "
311,"i cant change my biog from my mobile  gutted! need to change it, any ideas?"
312,i can see myself on laurens screen 
313,takin a nap. if u have my number don't hit me until later!!! i'm sleeeeeepy with a serious headache 
314,i wanted to sleep in! 
315," @USER  odd q but, do you serve food in your establishment? i always get to 3am and get ravenously hungry but can never find food "
316,and how hard do volvo make it to check spark plug gaps? i have a degree in engineering and it is still daunting for me. 
317,found 2 bugs @ bluebird   WEBSITE2018 for example ... very very basic bugs....
318, @USER  you got a new place in west vil? now we can hang out actually. oh wait you work too much 
319,"okay, i'm done playing dj.   getting ready for the day-going to list some stuff online today."
320," @USER  oh, you're completely prepared. wait, what about a beverage?  "
321, @USER  thank you! 
322, @USER  i sent mine earlier in the week. had to get it sent! still traumatised by it  i'm avoiding starting tma06!!!
323, @USER   @USER  omplishd maybe it was b/c i saw it at midnight last night?  and i don't know carter's story that well...not a true fan i guess! 
324,is round perry's gaff with chelssss 
325,the builder is being so cute with the cat  aw!
326,i so don't understand what i'm supposed to do on twitter but here i go     WEBSITE2018 
327, @USER  today isn't looking much better in houston. sorry 
328, @USER  naw...i threw it to the floor cuse lefty told me to close the freakin door behind me.   
329,goes without saying. funnest night of my life just ended 
330, @USER  so please explain it to me. i want to know. make it make sense mimi 
331,and of course john oates (off of hall &amp; oates) happy birthday 
332," @USER   @USER  utcheon i love open-minded, tolerant peeps, too. looking forward to reading your tweets from snowy ohio here in balmy fl. "
333,i hate spring. i found a centipede that could scare the living daylights out of hercules and ant-squashing has become a regular hobby... 
334,coffe at the cup with sandi. it's a rainy morning though 
335,prepay for my bm lisan karangan now... 
336, @USER  what and it missed it this is a travesty.   
337, @USER  happy tuesday!! 
338,art is calling! easter almost over school on tuesday 
339,its a beautiful morning 
340,"just tried the 'audio captcha' while posting on craigslist, and i swear the sound will haunt my dreams tonight.  crazy stuff... "
341,12.20 and still nothing 
342," @USER  what? you so need to put that on the site. you know, cause us bloggers love free wifi!! awesome. "
343, @USER  early morning beginners luck! 
344, @USER  i am good! i de-twittered myself this weekend too. i feel out of touch ha. trying to catch up with some people 
345, @USER  oh kim - trust is my main issue! would love to hire someone but folk just want ya goodies! 
346,is nt understanding the twitter phenomenom 
347, @USER  herron - cheers! -  @USER   @USER  - it's felice varini 
348," @USER  yes, i am.  but my actual daily amount is low, comparatively. just necessary."
349," @USER  explain to me, this conspiracy against meeee.. yeah a little paramore quote there  x"
350, @USER  you're welcome - glad it was useful! 
351,im not ready for today 
352,morning! i have slacked for two days in twittering! but here i am again. just finished a good run  ready to start a new day.
353,"i think im fallin in like with my new lg lotus...  im not quite over my samsung a900 [best freakin phone ever!], but this one's aiiight. "
354, @USER  exactly. bad averts.  and they should have ads for dq at night when it is closed. that is cruel and unusual punishment
355,boom i need entertaining. sunny day... on crutches + blister on hand = me not going anywhere  x
356,woohoo! 72 degrees here in sunny pennsylvania today - should be riding the harley - not working - but .... had to work 
357, @USER  liking the new and improved avatar 
358,laying on the couch with a verry painfull back... wishing someone would know how to loose this pain!!!! ouwieeeeeee!!!! 
359,"well, i need to go see what other messes i can make today, lol..... talk to you all later "
360,some people tweets a lot.thatï¿½s cool...i guess 
361,"emily is happy because of the new parenting plan, cortney. "
362,"wow, that was a great nap- wonder if the heart attack and the a  @USER  ident was just a dream? um... no "
363,last day of vacation.  going to the outlet mall. hopefully i won't go overboard on cute girly things!!
364,building email templates for outlook 2007 is a nightmare. 
365," @USER  alright, wonderful "
366,"my sisters's dragging me to go upstairs already. so, good night. i wish i had a computer in my room. "
367, @USER  i have a week and a day 
368,so. i kind of like bamboozled myself. the first good morning wasn't official. i woke up from a nightmare of the beyonce experience. 
369,listening to music! 
370,"mmm, watching dancing with the stars!!! i'm in my happy place-gilles is soo yummy  &lt;3"
371," @USER  i wish, but no more tickets  we'll watch it tho"
372,is al twittered out 
373,just saw the pilot for caprica. it was excellent. have to wait ages for show to start next year 
374," @USER  no, i still haven't figured it out "
375,chillin chillin my kitten hurt her foot 
376,it's going to be 70 degrees in salt lake city today 
377," @USER  alf!!! i dvr that, but my mom always deletes it for her cops episodes!  he was my fav!"
378, @USER  that would b fun 
379,such a sunny day 
380," @USER  welcome, explore, enjoy! "
381, @USER  and we are blessed that you have come back into our lives again  thank you!!!!!
382,fringe is back today     
383, @USER  isn't it interesting how someone's sense of style can influence and inspire your fashion choices? 
384,just woke up. off 2 day. bout 2 make breakfast and enjoy my day.  
385, @USER  poor darling  have soup and rest!
386,can't find a good pic for my twitter 
387," @USER  i'll see if i can find out. appreciate your help. if i find out, i'll certainly let you know. "
388," @USER  hey demi! r u there?  if u r, please reply "
389,so bored 
390, @USER  - more info on the way about the program mr murray! 
391,got to finish my hw today  almost done.lol.
392,flight delayed from 9:10 to 10:34    WEBSITE2018 
393,off to the city to buy paint. 
394," @USER  another try by the blues again, not good!!!!, gloucester have no chance now "
395," @USER  if we end up out there, i'm sure we'll go. "
396, @USER  i can't believe how real those carrots look!! the easter bunny will be happy. 
397,school resumes this monday. gaaah. 
398,"wish i was in florida with everyone, but instead i'm stuck in rainy kc "
399,waiting in the cold for a manager to come 
400," @USER  love links to interesting things/tutorials, and then of course my show addictions "
401," @USER   @USER  it went to school with kid of reddoor. when they get home, then photo "
402, @USER  i would have loved to organized one but do not have the technology 
403," @USER  hey, checking in....lemme know whats up "
404,right am off for my java fix who wants one? 
405,"pancakes &amp; waffles for breakfast @ sitespect, inc. today "
406, @USER   have a look at this - it might explain   WEBSITE2018 
407, @USER  i have to study  exams are in 4 days 
408, @USER   WEBSITE2018 - love that movie. and song that is playing at this scene. 
409,booked a hair appointment - i'm having an organised day 
410, @USER  man u are one busy girly 
411, @USER  i've put your music on my ipod. such good company on my way home 
412, @USER  well that sounds like a good day when  you get to work with your best friend 
413,"has a bad tummy ache.  go away, please!"
414,"just bought 'collected short stories of mumtaz mufti' (muftianay)... yes, apart from shahabism he was a prolific fiction writer too "
415,atlantic iowa doesnt sound good 
416,omg and i thought my monster yesterday was amazing! boy was i wrong! there's carmallows in the cabinet!! 
417,back home from a longgg day! today = party time!  too bad i'm missing someone that's pretty darn special  &lt;3
418, @USER  is the brighton gig on the 26th completely sold out!!!??? 
419," @USER  of all the verbal inflections, irony is my favourite "
420,here at court...wish me luck 
421,i wish i knew people here so someone could bring me soup and meds  ill just sleep it off
422, @USER  hi. hope your day's going great so far. 
423, @USER  why! 
424,can't figure out how to load a picture 
425, @USER  thank you! i'm glad you like it 
426,"it appears that jquery plugin for making round borders in navigation doesn't work on all os, in ubuntu round borders aren't visible "
427, @USER  hiya!!! 
428,has just finished painting me shelfs (thank god) the bad thing is that if i not done it right i have to do it all over again 
429, @USER  the mikey worm! it's a virus. some kid hacks into ur a  @USER  t. i don't know how 2 get rid of it! help!!! 
430,katie just went home  bored now.
431, @USER  tweet tweet to you too  lets encourage each other to do what we should for our health...i'm down if you are 
432," @USER  thanks! i'm still working away on them, getting the human cylons done first. "
433,"texting, e-mailing, tweeting, and so much more while waiting for phone to ring with news from far away. "
434,lying in bed wishing i was home...i miss my honey 
435, @USER  we've actually had toasty warm weather for a change so i took advantage of the opportunity 
436, @USER   awww snap! congrats guys! 
437,"aaaaannnnd my ipod touch just told me i have 10% battery remaining...  i guess this means goodnight, my fellow tweeple? ok."
438,getting ready to strike a pose for all the managers hahah can't wait to see my boo...nizzzzllleee!!! 
439, @USER   i cant deal with my sweetened milk drinks! i really coffee or my mood can turn... fast.  haha 
440,whew! my day is ovahh! hopefully the house is quiet so i can get some zzzzz's 
441," @USER  but, i have another 2 older nanos knocking around, and numerous other mp3 players "
442,"missing the girlies- house is empty &amp; i've run out of grey's to watch  hmmm, what to do??!"
443,"trust me, it works "
444, @USER  hall and oates reminds me of college...there i go dating myself again 
445, @USER  ok thanks! i ordered 8 pairs online too! only cost me $106! kids cant wait to get them! have a great day 
446," @USER  now that would be worth a few wrinkles. oh, think of the wisdom you could collect in 500 yrs...&amp; yet, still questing for more "
447,"um, tweetdeck is being difficult for me.   farmers market today though!"
448," @USER  if somebody re  @USER  omends a good one, would you be so kind as to tweet it? "
449,rt:  @USER  today isn't looking much better in houston. sorry   WEBSITE2018 
450,show sally my page 
451,im clocking off early....well it is me birthday afterall...so im allowed 
452," @USER  i'd feel better if i knew anything about feminist theory! so much still to do, but i'm sure you're right... "
453,i was actually signed on to ym and not invisible for a few hours. not one person said hi. 
454,this weekend is goign exactly as i thought it would.  yippee for me.  
455,"back from stourbridge with some new contact lenses to try, plus charity shop bits &amp; a skull bag from a boutique called polka dot paradise "
456,ahhhh coffee 
457, @USER  what format are the templates? i don't have any adobe software 
458,just opened my friendster and i have a lots of pending requests. i don't know who they are. 
459," @USER  oh yes, i was reading that one "
460,shakin' up the money tree... headed back into the car business 
461, @USER  woo hoo!!!  we can't have you sleeping so much.  i am calling you tonight at 3am 
462,ok. got to go 2 the gym now. streamyx really hated us 2day...  
463,sounds of george working are too good 
464,hopefully today will go by fast. excited to go home thursday 
465, @USER  omg you were so the person that caused the whole of the m1 to come to a standstill today? sorry bout the car btw! 
466,never seen an armadillo at the side of the road before. poor guy 
467,yummmm....haagen dazs caramel cone explosion for breakfast!! yummmmmmm..... 
468,i'm so screwed. 
469," @USER  alarm... hmm. they usually put the playlists up on rage's website at the end anyway, right? my tv's busted "
470,observing ducks for my stupid paper.  but other than that today will be a good day!
471,today is totally a death day 
